Event type,Category
syscall_exit_sendto,Networking (Socket and Communication)
syscall_exit_getppid,CPU and Process Management
syscall_entry_getppid,CPU and Process Management
syscall_entry_readlinkat,I/O (File and Disk Operations)
syscall_exit_readlinkat,I/O (File and Disk Operations)
syscall_exit_alarm,Timers
syscall_entry_alarm,Timers
syscall_exit_brk,Memory Management
syscall_entry_brk,Memory Management
syscall_entry_exit_group,Unknown
syscall_entry_ftruncate,I/O (File and Disk Operations)
syscall_exit_ftruncate,I/O (File and Disk Operations)
syscall_entry_setpgid,CPU and Process Management
syscall_exit_setpgid,CPU and Process Management
syscall_exit_sendfile64,I/O (File and Disk Operations)
syscall_entry_sendfile64,I/O (File and Disk Operations)
syscall_entry_epoll_pwait,Unknown
syscall_exit_epoll_pwait,Unknown
syscall_entry_bind,Networking (Socket and Communication)
syscall_exit_bind,Networking (Socket and Communication)
syscall_entry_ppoll,Event Polling and Notification
syscall_exit_ppoll,Event Polling and Notification
syscall_exit_sendmmsg,Networking (Socket and Communication)
syscall_entry_sendmmsg,Networking (Socket and Communication)
syscall_entry_getpeername,Networking (Socket and Communication)
syscall_exit_getpeername,Networking (Socket and Communication)
syscall_entry_flock,I/O (File and Disk Operations)
syscall_exit_flock,I/O (File and Disk Operations)
syscall_exit_execve,CPU and Process Management
syscall_entry_execve,CPU and Process Management
syscall_exit_set_tid_address,Unknown
syscall_entry_set_tid_address,Unknown
syscall_exit_accept4,Networking (Socket and Communication)
syscall_entry_accept4,Networking (Socket and Communication)
syscall_exit_umask,I/O (File and Disk Operations)
syscall_entry_umask,I/O (File and Disk Operations)
syscall_entry_times,Timers
syscall_exit_times,Timers
syscall_exit_fstatfs,I/O (File and Disk Operations)
syscall_entry_fstatfs,I/O (File and Disk Operations)
syscall_entry_dup2,I/O (File and Disk Operations)
syscall_exit_dup2,I/O (File and Disk Operations)
syscall_exit_pipe2,I/O (File and Disk Operations)
syscall_entry_pipe2,I/O (File and Disk Operations)
syscall_entry_getcwd,I/O (File and Disk Operations)
syscall_exit_getcwd,I/O (File and Disk Operations)
syscall_entry_fallocate,I/O (File and Disk Operations)
syscall_exit_fallocate,I/O (File and Disk Operations)
syscall_entry_mkdir,I/O (File and Disk Operations)
syscall_exit_mkdir,I/O (File and Disk Operations)
syscall_entry_rmdir,I/O (File and Disk Operations)
syscall_exit_rmdir,I/O (File and Disk Operations)
syscall_entry_sigaltstack,Signal Handling
syscall_exit_sigaltstack,Signal Handling
syscall_entry_newuname,System Information
syscall_exit_newuname,System Information
syscall_entry_mlock,Memory Management
syscall_exit_mlock,Memory Management
syscall_entry_chdir,I/O (File and Disk Operations)
syscall_exit_chdir,I/O (File and Disk Operations)
syscall_entry_utimensat,I/O (File and Disk Operations)
syscall_exit_utimensat,I/O (File and Disk Operations)
syscall_entry_setitimer,Timers
syscall_exit_setitimer,Timers
syscall_exit_setuid,CPU and Process Management
syscall_entry_setuid,CPU and Process Management
syscall_exit_setgid,CPU and Process Management
syscall_entry_setgid,CPU and Process Management
syscall_exit_setgroups,CPU and Process Management
syscall_entry_setgroups,CPU and Process Management
syscall_entry_getpriority,CPU and Process Management
syscall_exit_getpriority,CPU and Process Management
syscall_exit_setpriority,CPU and Process Management
syscall_entry_setpriority,CPU and Process Management
syscall_entry_clock_adjtime,Unknown
syscall_exit_clock_adjtime,Unknown
syscall_entry_setsid,CPU and Process Management
syscall_exit_setsid,CPU and Process Management
